c_5mM.c_0mM___padj,p_5mM.p_0mM___padj,Combined categories
0.855062592,0.371385272,"Type II, III, V, VI, Sec secretion systems"
0.8976444,0.1617909,"Type II, III, V, VI, Sec secretion systems"
5.53E-47,0.385221758,"Type II, III, V, VI, Sec secretion systems"
0.1588,1.80E-08,"Type II, III, V, VI, Sec secretion systems"
3.11E-14,0.517316657,"Type II, III, V, VI, Sec secretion systems"
0.001449317,9.08E-06,Carbon metabolism and storage
0.035542258,0.000696199,Carbon metabolism and storage
0.000109997,1.37E-214,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
2.12E-10,6.49E-14,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.001584518,3.70E-60,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
6.41E-96,0.6414051,Carbon metabolism and storage
1.35E-200,0.002086046,Carbon metabolism and storage
1.98E-135,0.7989208,Carbon metabolism and storage
1.80E-134,0.07592971,Carbon metabolism and storage
2.51E-177,0.000180874,Carbon metabolism and storage
8.63E-11,0.02110535,Carbon metabolism and storage
1.87E-27,2.71E-05,Carbon metabolism and storage
1.32E-60,8.60E-05,Carbon metabolism and storage
1.38E-08,8.75E-15,Carbon metabolism and storage
5.30E-06,0.6866408,Carbon metabolism and storage
4.95E-45,0.3836415,Carbon metabolism and storage
5.18E-115,8.53E-06,Carbon metabolism and storage
5.37E-29,0.8477844,Carbon metabolism and storage
2.76E-27,0.1860514,Carbon metabolism and storage
2.86E-19,0.001216381,Carbon metabolism and storage
0.024135908,5.70E-09,"Type II, III, V, VI, Sec secretion systems"
0.0310915,5.06E-16,"Type II, III, V, VI, Sec secretion systems"
0.775182418,1.04E-05,"Type II, III, V, VI, Sec secretion systems"
0.316643248,3.75E-10,"Type II, III, V, VI, Sec secretion systems"
0.305790806,2.00E-12,"Type II, III, V, VI, Sec secretion systems"
2.68E-15,7.87E-17,"Type II, III, V, VI, Sec secretion systems"
7.10E-07,1.60E-78,"Type II, III, V, VI, Sec secretion systems"
0.574565383,1.20E-17,"Type II, III, V, VI, Sec secretion systems"
0.683241524,1.10E-23,"Type II, III, V, VI, Sec secretion systems"
0.005557903,1.02E-06,"Type II, III, V, VI, Sec secretion systems"
0.232703632,1.07E-08,"Type II, III, V, VI, Sec secretion systems"
1.26E-23,2.05E-36,"Type II, III, V, VI, Sec secretion systems"
0.000151138,2.08E-09,"Type II, III, V, VI, Sec secretion systems"
0.00399375,6.77E-10,"Type II, III, V, VI, Sec secretion systems"
0.294843309,3.07E-22,"Type II, III, V, VI, Sec secretion systems"
0.99768348,3.16E-06,"Type II, III, V, VI, Sec secretion systems"
0.849253453,1.05E-05,"Type II, III, V, VI, Sec secretion systems"
0.001728101,5.95E-10,"Type II, III, V, VI, Sec secretion systems"
7.10E-07,1.60E-44,"Type II, III, V, VI, Sec secretion systems"
0.1731982,0.00039277,"Type II, III, V, VI, Sec secretion systems"
0.3213521,5.80E-08,"Type II, III, V, VI, Sec secretion systems"
0.157810293,0.0004711,"Type II, III, V, VI, Sec secretion systems"
0.750952521,0.000753062,"Type II, III, V, VI, Sec secretion systems"
0.037988952,0.001025454,"Type II, III, V, VI, Sec secretion systems"
0.437000058,0.109775833,"Type II, III, V, VI, Sec secretion systems"
9.58E-12,0.804411603,"Type II, III, V, VI, Sec secretion systems"
3.34E-07,2.27E-19,"Type II, III, V, VI, Sec secretion systems"
1.69E-08,0.029451835,"Type II, III, V, VI, Sec secretion systems"
0.136276316,0.001971675,"Type II, III, V, VI, Sec secretion systems"
0.004566729,0.1536949,"Type II, III, V, VI, Sec secretion systems"
0.9028672,0.3446639,"Type II, III, V, VI, Sec secretion systems"
0.247346,0.000834225,"Type II, III, V, VI, Sec secretion systems"
0.1024732,0.00061439,"Type II, III, V, VI, Sec secretion systems"
0.004248164,0.128456557,"Type II, III, V, VI, Sec secretion systems"
0.007998661,0.002542292,"Type II, III, V, VI, Sec secretion systems"
3.28E-10,0.000916288,"Type II, III, V, VI, Sec secretion systems"
0.597368977,0.001323704,"Type II, III, V, VI, Sec secretion systems"
0.058171831,0.739508607,"Type II, III, V, VI, Sec secretion systems"
1.22E-20,0.043288715,"Type II, III, V, VI, Sec secretion systems"
0.000117157,0.020824184,"Type II, III, V, VI, Sec secretion systems"
9.01E-10,0.0774059,"Type II, III, V, VI, Sec secretion systems"
0.006885728,5.00E-07,"Type II, III, V, VI, Sec secretion systems"
0.419544437,0.01519289,"Type II, III, V, VI, Sec secretion systems"
0.016002999,0.064009911,"Type II, III, V, VI, Sec secretion systems"
0.093001929,0.077674628,"Type II, III, V, VI, Sec secretion systems"
6.45E-05,0.016148431,"Type II, III, V, VI, Sec secretion systems"
0.204441728,0.218740669,"Type II, III, V, VI, Sec secretion systems"
4.04E-05,5.72E-07,"Type II, III, V, VI, Sec secretion systems"
0.080763408,0.944384889,"Type II, III, V, VI, Sec secretion systems"
0.020794327,0.978401128,"Type II, III, V, VI, Sec secretion systems"
0.327382387,0.705298266,"Type II, III, V, VI, Sec secretion systems"
0.95227313,0.063452712,"Type II, III, V, VI, Sec secretion systems"
0.2298307,0.03569119,"Type II, III, V, VI, Sec secretion systems"
0.094597074,0.851552162,"Type II, III, V, VI, Sec secretion systems"
6.83E-124,0.129928147,"Type II, III, V, VI, Sec secretion systems"
6.34E-07,0.179948139,"Type II, III, V, VI, Sec secretion systems"
0.041033386,0.03147209,"Type II, III, V, VI, Sec secretion systems"
0.001006366,0.109405678,"Type II, III, V, VI, Sec secretion systems"
0.374351861,0.958062937,"Type II, III, V, VI, Sec secretion systems"
0.129650311,0.034245417,"Type II, III, V, VI, Sec secretion systems"
8.02E-07,4.58E-05,"Type II, III, V, VI, Sec secretion systems"
8.21E-05,0.014671294,"Type II, III, V, VI, Sec secretion systems"
0.011284646,0.435375349,"Type II, III, V, VI, Sec secretion systems"
0.350190324,0.025031714,"Type II, III, V, VI, Sec secretion systems"
3.33E-05,0.00200678,"Type II, III, V, VI, Sec secretion systems"
0.865759153,0.996150431,"Type II, III, V, VI, Sec secretion systems"
0.100439224,0.382169136,"Type II, III, V, VI, Sec secretion systems"
0.383719921,0.829055806,"Type II, III, V, VI, Sec secretion systems"
0.19843975,0.304536982,"Type II, III, V, VI, Sec secretion systems"
0.458866352,0.025577165,"Type II, III, V, VI, Sec secretion systems"
0.006016113,0.001344099,"Type II, III, V, VI, Sec secretion systems"
0.970653757,0.444341966,"Type II, III, V, VI, Sec secretion systems"
0.002265033,0.00210458,"Type II, III, V, VI, Sec secretion systems"
0.203259832,0.369034652,"Type II, III, V, VI, Sec secretion systems"
1.12E-05,0.909825642,"Type II, III, V, VI, Sec secretion systems"
0.12237215,0.998518237,"Type II, III, V, VI, Sec secretion systems"
0.340797761,0.966934358,"Type II, III, V, VI, Sec secretion systems"
0.068014904,0.027091737,"Type II, III, V, VI, Sec secretion systems"
0.00866157,0.922121205,"Type II, III, V, VI, Sec secretion systems"
4.61E-06,2.76E-05,"Type II, III, V, VI, Sec secretion systems"
0.00013996,0.00415304,"Type II, III, V, VI, Sec secretion systems"
0.84838459,0.036884947,"Type II, III, V, VI, Sec secretion systems"
0.007246298,0.004770083,"Type II, III, V, VI, Sec secretion systems"
0.861500148,0.180216303,"Type II, III, V, VI, Sec secretion systems"
0.052956517,0.117455055,"Type II, III, V, VI, Sec secretion systems"
0.549777104,1.27E-10,"Type II, III, V, VI, Sec secretion systems"
7.59E-16,0.006206689,"Type II, III, V, VI, Sec secretion systems"
0.151390212,3.71E-71,"Type II, III, V, VI, Sec secretion systems"
0.388970397,6.70E-22,"Type II, III, V, VI, Sec secretion systems"
4.39E-05,1.09E-08,"Type II, III, V, VI, Sec secretion systems"
0.011749295,2.70E-11,"Type II, III, V, VI, Sec secretion systems"
0.394908678,0.00086793,"Type II, III, V, VI, Sec secretion systems"
0.003820898,4.92E-23,"Type II, III, V, VI, Sec secretion systems"
0.073110024,0.033890255,"Type II, III, V, VI, Sec secretion systems"
0.444105926,6.39E-09,"Type II, III, V, VI, Sec secretion systems"
1.01E-21,0.000266027,"Type II, III, V, VI, Sec secretion systems"
3.74E-15,0.028182803,"Type II, III, V, VI, Sec secretion systems"
2.08E-10,0.005575844,"Type II, III, V, VI, Sec secretion systems"
6.21E-57,0.73963089,"Type II, III, V, VI, Sec secretion systems"
4.85E-13,0.332373947,"Type II, III, V, VI, Sec secretion systems"
5.62E-09,0.634900523,"Type II, III, V, VI, Sec secretion systems"
6.38E-15,0.173063252,"Type II, III, V, VI, Sec secretion systems"
0.009696853,0.036298406,"Type II, III, V, VI, Sec secretion systems"
0.081395382,0.023089288,"Type II, III, V, VI, Sec secretion systems"
0.00021528,0.781733401,"Type II, III, V, VI, Sec secretion systems"
9.84E-10,0.075364019,"Type II, III, V, VI, Sec secretion systems"
7.57E-09,0.497273036,"Type II, III, V, VI, Sec secretion systems"
5.16E-06,0.001531292,"Type II, III, V, VI, Sec secretion systems"
3.68E-41,0.192258802,"Type II, III, V, VI, Sec secretion systems"
7.06E-18,0.011911519,"Type II, III, V, VI, Sec secretion systems"
2.23E-07,0.318246642,"Type II, III, V, VI, Sec secretion systems"
1.52E-19,0.005007644,"Type II, III, V, VI, Sec secretion systems"
2.59E-11,0.4243081,"Type II, III, V, VI, Sec secretion systems"
2.16E-06,0.564111603,"Type II, III, V, VI, Sec secretion systems"
4.81E-07,0.153282419,"Type II, III, V, VI, Sec secretion systems"
0.066637604,5.20E-07,"Type II, III, V, VI, Sec secretion systems"
2.25E-15,0.980195815,"Type II, III, V, VI, Sec secretion systems"
0.022748965,0.206517258,"Type II, III, V, VI, Sec secretion systems"
0.000120514,0.001341458,"Type II, III, V, VI, Sec secretion systems"
0.001446758,1.08E-37,"Type II, III, V, VI, Sec secretion systems"
1.36E-31,0.12337903,"Type II, III, V, VI, Sec secretion systems"
3.15E-08,0.941110081,"Type II, III, V, VI, Sec secretion systems"
1.37E-05,4.63E-08,"Type II, III, V, VI, Sec secretion systems"
0.000625655,1.35E-08,"Type II, III, V, VI, Sec secretion systems"
0.63663987,1.84E-13,"Type II, III, V, VI, Sec secretion systems"
0.503955458,7.93E-38,"Type II, III, V, VI, Sec secretion systems"
0.3386067,1.80E-18,"Type II, III, V, VI, Sec secretion systems"
0.448053304,5.66E-44,"Type II, III, V, VI, Sec secretion systems"
0.919931034,1.21E-26,"Type II, III, V, VI, Sec secretion systems"
0.112577111,1.53E-30,"Type II, III, V, VI, Sec secretion systems"
3.14E-08,1.26E-06,"Type II, III, V, VI, Sec secretion systems"
2.76E-11,3.56E-10,"Type II, III, V, VI, Sec secretion systems"
5.20E-05,2.67E-13,"Type II, III, V, VI, Sec secretion systems"
3.03E-15,2.66E-18,"Type II, III, V, VI, Sec secretion systems"
1.80E-12,4.89E-24,"Type II, III, V, VI, Sec secretion systems"
7.16E-06,0.935790896,"Type II, III, V, VI, Sec secretion systems"
0.021319251,0.131120587,"Type II, III, V, VI, Sec secretion systems"
1.59E-08,0.004359173,"Type II, III, V, VI, Sec secretion systems"
8.64E-14,6.12E-08,"Type II, III, V, VI, Sec secretion systems"
0.025553345,1.43E-11,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.283355355,2.98E-64,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.025577977,1.50E-11,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.670144415,1.57E-31,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
3.73E-06,2.79E-34,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.597368977,1.46E-29,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
3.29E-13,6.33E-58,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.007981717,8.83E-138,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
3.47E-20,0.000111494,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
5.75E-54,0.033744156,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.000591458,0.029117339,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.572124009,0.484394199,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.03801312,0.03782406,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.2462975,6.03E-41,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
5.20E-152,1.06E-154,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
1.32E-29,0.6090995,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.000100328,0.6913992,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.01171392,9.01E-11,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
2.99E-10,6.10E-05,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.310099541,0.508773959,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
6.44E-08,0.630838723,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.04254021,0.007269638,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.006452801,0.71463062,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.001417501,1.30E-09,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
1.60E-06,0.289442667,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
9.74E-15,0.960250641,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.186542574,0.000474808,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.00971939,0.002996219,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
2.40E-107,5.90E-181,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
8.82E-36,0.1753789,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
3.32E-05,2.52E-08,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.006965096,5.42E-05,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.929473133,0.130453035,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
3.65E-05,0.000184575,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.567951864,0.530094834,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
4.71E-23,8.61E-13,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
5.89E-21,2.83E-08,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
