CF,Non-CF,Environmental
99.79,99.57,98.08
99.57,99.79,99.79
98.08,99.57,99.79
99.79,99.79,99.79
99.79,99.57,99.57
99.79,94.62,99.15
99.79,98.08,99.57
99.79,99.57,99.57
99.79,94.62,99.79
99.79,99.79,99.79
99.79,99.15,99.79
99.15,98.08,99.79
99.15,99.57,99.57
99.57,99.79,99.79
99.57,99.57,99.79
99.15,99.57,99.79
99.79,98.08,99.79
99.36,97.86,94.62
99.57,99.57,99.79
99.79,99.57,99.79
99.79,99.79,99.79
99.57,99.57,99.79
99.36,99.57,99.79
99.57,99.57,99.57
99.15,99.79,99.15
99.15,94.82,99.79
98.93,99.79,99.57
99.15,99.57,99.57
99.79,99.57,99.57
99.79,99.79,99.79
99.15,99.79,99.79
98.93,99.57,99.57
99.15,99.79,99.36
99.15,99.79,99.79
99.57,99.36,99.57
99.15,99.36,99.57
99.36,100,99.79
99.57,99.15,99.79
99.57,99.15,99.79
99.15,99.57,99.57
99.79,94.62,99.79
99.15,99.79,94.62
99.79,94.62,99.57
99.15,99.57,98.5
99.15,99.79,98.5
99.15,99.36,99.15
99.57,97.86,99.79
99.57,99.57,99.79
99.57,99.79,99.57
99.57,99.57,99.15
99.79,99.57,99.79
99.15,99.79,99.57
99.57,94.62,99.15
99.15,99.79,99.79
99.79,94.62,99.79
99.57,99.57,99.57
99.79,99.57,99.57
99.15,99.57,99.79
99.57,99.57,99.79
99.15,99.57,99.57
99.57,99.57,99.57
99.57,99.57,98.08
99.79,99.57,98.08
99.15,99.79,98.08
99.57,99.57,99.57
99.57,99.79,99.57
99.79,99.57,99.79
99.57,99.57,97.86
99.57,99.57,98.08
99.57,99.57,98.08
99.79,99.57,99.57
99.79,99.79,97.86
99.79,99.79,99.57
99.79,99.79,99.57
99.57,99.79,99.57
99.57,99.57,99.79
99.57,99.57,100
99.79,99.79,99.57
99.79,99.57,99.57
99.79,99.79,99.79
99.57,99.79,99.79
99.57,97.86,99.57
99.57,99.36,99.79
99.57,99.57,99.79
99.79,99.15,99.79
99.57,99.57,99.79
99.57,99.79,99.57
99.79,98.08,99.57
99.79,97.86,99.15
99.57,98.08,98.08
99.79,99.57,99.79
99.15,99.79,98.08
99.79,99.79,98.08
96.58,99.15,99.57
99.79,99.79,99.57
99.79,91.24,99.79
99.57,95.3,99.79
99.57,99.79,99.79
99.57,94.62,99.79
99.79,99.57,99.79
99.57,99.79,99.57
99.79,99.79,99.79
99.79,99.79,97.86
99.79,99.79,99.57
