Combined categories,p_5mM.p_0mM___log2FoldChange
"Type II, III, V, VI, Sec secretion systems",-0.161377725
"Type II, III, V, VI, Sec secretion systems",0.3423427
"Type II, III, V, VI, Sec secretion systems",-0.157026256
"Type II, III, V, VI, Sec secretion systems",-0.9418559
"Type II, III, V, VI, Sec secretion systems",-0.094543429
Carbon metabolism and storage,-1.778092936
Carbon metabolism and storage,-1.330608703
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,4.731844261
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,1.861193304
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,3.184406197
Carbon metabolism and storage,0.1384789
Carbon metabolism and storage,-0.6239887
Carbon metabolism and storage,0.0813253
Carbon metabolism and storage,0.3988792
Carbon metabolism and storage,0.6762585
Carbon metabolism and storage,1.350006
Carbon metabolism and storage,1.30045
Carbon metabolism and storage,1.072697
Carbon metabolism and storage,2.546798
Carbon metabolism and storage,0.268867
Carbon metabolism and storage,-0.1408037
Carbon metabolism and storage,0.6827965
Carbon metabolism and storage,-0.06596055
Carbon metabolism and storage,0.412069
Carbon metabolism and storage,-0.3794355
"Type II, III, V, VI, Sec secretion systems",1.221022783
"Type II, III, V, VI, Sec secretion systems",1.567424662
"Type II, III, V, VI, Sec secretion systems",1.440362718
"Type II, III, V, VI, Sec secretion systems",1.812131521
"Type II, III, V, VI, Sec secretion systems",1.761240959
"Type II, III, V, VI, Sec secretion systems",1.46088917
"Type II, III, V, VI, Sec secretion systems",2.742729896
"Type II, III, V, VI, Sec secretion systems",2.696294531
"Type II, III, V, VI, Sec secretion systems",1.628586463
"Type II, III, V, VI, Sec secretion systems",1.112729993
"Type II, III, V, VI, Sec secretion systems",1.617531433
"Type II, III, V, VI, Sec secretion systems",1.446784849
"Type II, III, V, VI, Sec secretion systems",1.259038458
"Type II, III, V, VI, Sec secretion systems",1.46087135
"Type II, III, V, VI, Sec secretion systems",1.912770487
"Type II, III, V, VI, Sec secretion systems",1.111522525
"Type II, III, V, VI, Sec secretion systems",1.580818339
"Type II, III, V, VI, Sec secretion systems",1.656627877
"Type II, III, V, VI, Sec secretion systems",2.548501813
"Type II, III, V, VI, Sec secretion systems",0.4808278
"Type II, III, V, VI, Sec secretion systems",0.5536222
"Type II, III, V, VI, Sec secretion systems",0.346132035
"Type II, III, V, VI, Sec secretion systems",0.435373911
"Type II, III, V, VI, Sec secretion systems",0.668765107
"Type II, III, V, VI, Sec secretion systems",-0.388528564
"Type II, III, V, VI, Sec secretion systems",0.051701374
"Type II, III, V, VI, Sec secretion systems",-1.70260914
"Type II, III, V, VI, Sec secretion systems",-0.515446618
"Type II, III, V, VI, Sec secretion systems",0.886689748
"Type II, III, V, VI, Sec secretion systems",0.1648774
"Type II, III, V, VI, Sec secretion systems",-0.2341702
"Type II, III, V, VI, Sec secretion systems",-0.6021076
"Type II, III, V, VI, Sec secretion systems",-0.722431
"Type II, III, V, VI, Sec secretion systems",-0.506056086
"Type II, III, V, VI, Sec secretion systems",0.764459335
