#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_002516.2",483,2027,"+",878417,"dnaA","PA0001","NP_064721.1",514,"chromosome replication initiator DnaA"
"chromosome","NC_002516.2",2056,3159,"+",879244,"dnaN","PA0002","NP_064722.1",367,"DNA polymerase III subunit beta"
"chromosome","NC_002516.2",3169,4278,"+",879229,"recF","PA0003","NP_064723.1",369,"DNA replication and repair protein RecF"
"chromosome","NC_002516.2",4275,6695,"+",879230,"gyrB","PA0004","NP_064724.1",806,"DNA gyrase subunit B"
"chromosome","NC_002516.2",7018,7791,"-",877576,"lptA","PA0005","NP_064725.1",257,"lysophosphatidic acid acyltransferase"
"chromosome","NC_002516.2",7803,8339,"-",879245,,"PA0006","NP_064726.1",178,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase"
"chromosome","NC_002516.2",8671,10377,"+",877575,,"PA0007","NP_064727.1",568,"hypothetical protein PA0007"
"chromosome","NC_002516.2",10434,12488,"-",878214,"glyS","PA0008","NP_064728.1",684,"glycine--tRNA ligase subunit beta"
"chromosome","NC_002516.2",12488,13435,"-",878095,"glyQ","PA0009","NP_064729.1",315,"glycine--tRNA ligase subunit alpha"
"chromosome","NC_002516.2",13540,14091,"+",878076,"tag","PA0010","NP_248700.1",183,"DNA-3-methyladenine glycosidase I"
"chromosome","NC_002516.2",14235,15122,"+",877921,,"PA0011","NP_248701.1",295,"lipid A biosynthesis lauroyl acyltransferase"
"chromosome","NC_002516.2",15207,15473,"+",877795,,"PA0012","NP_248702.1",88,"hypothetical protein PA0012"
"chromosome","NC_002516.2",15620,16273,"+",877634,,"PA0013","NP_248703.1",217,"hypothetical protein PA0013"
"chromosome","NC_002516.2",16335,16607,"-",879294,,"PA0014","NP_248704.1",90,"hypothetical protein PA0014"
"chromosome","NC_002516.2",16900,17217,"-",879251,,"PA0015","NP_248705.1",105,"hypothetical protein PA0015"
"chromosome","NC_002516.2",17366,18739,"-",879255,"trkA","PA0016","NP_248706.1",457,"potassium transporter inner membrane associated protein"
"chromosome","NC_002516.2",18767,20071,"-",879297,,"PA0017","NP_248707.1",434,"Ribosomal RNA small subunit methyltransferase B"
"chromosome","NC_002516.2",20068,21012,"-",879258,"fmt","PA0018","NP_248708.1",314,"methionyl-tRNA formyltransferase"
"chromosome","NC_002516.2",21067,21573,"-",879306,"def","PA0019","NP_248709.1",168,"peptide deformylase"
"chromosome","NC_002516.2",21712,22737,"+",879309,,"PA0020","NP_248710.1",341,"hypothetical protein PA0020"
"chromosome","NC_002516.2",22872,23960,"+",880730,,"PA0021","NP_248711.1",362,"hypothetical protein PA0021"
"chromosome","NC_002516.2",24001,24558,"+",880711,,"PA0022","NP_248712.1",185,"threonylcarbamoyl-AMP synthase"
"chromosome","NC_002516.2",24568,25545,"-",880685,"qor","PA0023","NP_248713.1",325,"oxygen-dependent quinone oxidoreductase"
"chromosome","NC_002516.2",25736,26653,"+",880901,"hemF","PA0024","NP_248714.1",305,"coproporphyrinogen III oxidase"
"chromosome","NC_002516.2",26711,27535,"+",880894,"aroE","PA0025","NP_248715.1",274,"shikimate dehydrogenase"
"chromosome","NC_002516.2",27646,28632,"+",880904,"plcB","PA0026","NP_248716.1",328,"phospholipase C"
"chromosome","NC_002516.2",28613,29899,"+",880919,,"PA0027","NP_248717.1",428,"hypothetical protein PA0027"
"chromosome","NC_002516.2",29896,30498,"+",878631,,"PA0028","NP_248718.1",200,"hypothetical protein PA0028"
"chromosome","NC_002516.2",30502,32055,"-",880672,,"PA0029","NP_248719.1",517,"sulfate transporter"
"chromosome","NC_002516.2",32060,32983,"-",880659,,"PA0030","NP_248720.1",307,"hypothetical protein PA0030"
"chromosome","NC_002516.2",33000,34511,"-",880657,"betC","PA0031","NP_248721.1",503,"choline sulfatase"
"chromosome","NC_002516.2",34624,35538,"+",880646,,"PA0032","NP_248722.1",304,"transcriptional regulator"
"chromosome","NC_002516.2",35549,35926,"+",17373336,,"PA0032a","YP_008719728.1",125,"DOPA 4,5-dioxygenase"
"chromosome","NC_002516.2",35905,36270,"-",880641,,"PA0033","NP_248723.1",121,"hypothetical protein PA0033"
"chromosome","NC_002516.2",36278,36901,"-",879223,,"PA0034","NP_248724.1",207,"two-component response regulator"
"chromosome","NC_002516.2",37087,37893,"-",879479,"trpA","PA0035","NP_248725.1",268,"tryptophan synthase subunit alpha"
"chromosome","NC_002516.2",37890,39098,"-",879212,"trpB","PA0036","NP_248726.1",402,"tryptophan synthase subunit beta"
"chromosome","NC_002516.2",39202,40089,"+",883090,"trpI","PA0037","NP_248727.1",295,"HTH-type transcriptional regulator TrpI"
"chromosome","NC_002516.2",40190,40405,"+",879209,,"PA0038","NP_248728.1",71,"hypothetical protein PA0038"
"chromosome","NC_002516.2",40589,40816,"+",879200,,"PA0039","NP_248729.1",75,"hypothetical protein PA0039"
